,작성일,작성자,제목,내용
739,2019-10-30,UCdp4_yTBhQmB8E339Lafzow,"광화문광장서 모인 5만 간호사들 ""간호법 제정"" 요구",조선닷컴 공식 홈페이지 . . 조선비즈 공식 홈페이지 . . 공식 페이스북 . . 공식 트위터 . 사실에 대한 믿음 할 말을 하는 용기. 조선일보 조선일보 뉴스 속보 제보
737,2019-10-30,UCvEpalBBXcQHE07DCGPrvdg,"대한간호협회, 간호정책 선포식...""간호법 제정 추진""",내년 세계 간호사의 해와 나이팅게일 탄생 200주년을 앞두고 열린 30일 기념행사에는 간호대 학생과 재외 한인 간호사 등을 포함해 주최 측 추산 5만 명이 참석했다. 30일 오후 대한간호협회 주최로 서울 광화문광장에서 열린 2019 간호정책 선포식
736,2019-12-11,UCc1C4tsjXcCpeyaS19_nGAA,"윤종필의원, 현재까지 간호법 제정이 되지 못한 이유는?",본격 국회의원 심층 인터뷰 프로그램 여의도 스트라이크 이번 방송에서는 국군간호사관학교장 지낸 우리나라 세 번째 장성 출신 국회의원 한국의 나이팅게일 에서 이제는 우리나라 간호의료업의 열악한 입지를 개선하는 데 두팔 걷고 노력하는 윤종필 의원을 만나 그간의 국회 활동에 대해 물어봤습니다. 출연 윤종필 자유한국당 의원 정명수 인포스탁데일리 자문위원 이동은 한국공공정책개발원 부원장 기획 제작 인포스탁데일리
735,2021-01-19,UCI-WwAj_XaJIREYSBEHXipQ,간호 다큐: 간호법을 아세요?,부연설명은 고정댓글을 확인해주세요. 간호 다큐로 시리즈가 꾸준히 제작될 예정입니다. 다음 편도 기대해주세요.
734,2021-08-23,UCkinYTS9IHqOEwR1Sze2JTw,[다시보기] 국회 복지위 - 간호법 제정에 관한 공청회 / SBS,복지위 간호법 8뉴스 뉴스 실시간 으로 만나 보세요 라이브 뉴스 채널 모바일24 뉴스로 제보해주세요 홈페이지 . . . 애플리케이션 뉴스 앱 설치하고 제보 카카오톡 뉴스 와 친구 맺고 채팅 페이스북 뉴스 검색해 메시지 전송 이메일 8 . . 문자 6000 전화 02 2113 6000 뉴스 채널 구독하기 . . . 뉴스 라이브 . . .
733,2021-08-26,UC8MRI2w6DoiaBDR0Z6PT_Dg,2021 제2차 김모임 온라인 포럼 (간호인력정책-간호법 제정),행사명 2021 제2차 김모임 포럼 온택트 주 관 사 국제한인간호재단 주 제 간호인력정책 간호법제정 구 성 1부. 특강 간호의 독립과 전문화를 위한 입법 필요성 00 30 2부. 토론 5 15
732,2021-11-23,UCTHCOPwqNfZ0uiKOvFyhGwg,"""필수적"" vs ""이익 목적""…간호법 제정 갈등 격화 / 연합뉴스TV (YonhapnewsTV)",필수적 이익 목적 간호법 제정 갈등 격화 앵커 간호사의 업무와 역할 등은 현재 의료법에 담겨있습니다. 그런데 의료법의 간호사 규정을 따로 떼서 다루는 간호법 이 국회 심의를 앞두고 있는데 갈등이 격화하고 있습니다. 간호사 단체와 의사 단체 입장이 첨예하게 대립하는 탓인데 왜 그런지 김민혜 기자가 살펴봤습니다. 기자 전국의 간호사들과 간호학과 대학생 400여 명이 한자리에 모였습니다. 국회 심의를 앞둔 간호법 의 조속한 제정 필요성을 주장하기 위해서입니다. 다양한 분야의 간호인력 수요가 늘고 있는데 간호사 관련 규정을 담은 의료법은 의사 중심이라 보다 전문화된 서비스를 위해 독립 법안이 필요하다는 게 이들의 입장입니다. 신경림 대한간호협회 회장 간호인력은 우리의 국민의 건강과 안전을 위해 소중한 의료자원이며 전문교육이 필요한 인력입니다. 초고령사회 국민의 건강증진을 위한 간호인력의 확충과 간호법 제정은 이 시대 변할 수 없는 코로나 사태로 드러난 과중한 업무와 처우 개선도 새 법에 지원 근거를 담아야 해결될 수 있다고 말합니다. 하지만 의사단체는 강하게 반발합니다. 의료법에 간호사 관련 규정이 다 담겨있는데 법을 별도로 떼내는 것은 이들의 이익만을 위한 입법이란 겁니다. 특히 간호사의 업무를 진료의 보조 에서 진료에 필요한 업무 로 바꿔 규정한 부분에 의사단체의 비판이 집중돼있습니다. 박수현 대한의사협회 대변인 의사가 어느 정도의 감독과 책임 하에서 환자들을 봤던 것들을 그냥 간호사가 단독으로 자기의 임의로 그 일을 하게 되는 부분인 거예요. 간호법은 앞서 2005년 2019년에도 발의됐지만 의사단체의 반대에 논의조차 못하고 폐기됐습니다. 이번에 처음으로 국회 보건복지위원회 법안소위에 상정돼 심의를 앞두고 있지만 첨예한 갈등 탓에 심의 과정은 큰 진통이 예상됩니다. 연합뉴스 김민혜입니다. . . 연합뉴스 기사문의 및 제보 카톡 라인 23 연합뉴스 유튜브 채널 구독 . 대한민국 뉴스의 시작 연합뉴스 . . .
731,2021-11-23,UCV82yZT11MnEiX9wVgcLkww,"국회 앞 1인 시위 물결 ""간호법 폐기하라!""/ 정부도 '부정적'...""사회적 합의 먼저""/확진자 첫 4천 명대 …총리 “급박한 상황”/ 의협 ‘코로나19 의료지원단’ 추가 모집",뉴스브리핑 2021년 11월 24일 자 00 07 국회 앞 릴레이 1인 시위 간호법 폐기하라 01 16 정부 간호 단독법 부정적 사회적 합의 먼저 02 17 확진자 첫 4천 명대 국무총리 급박한 상황 03 15 의사협회 코로나19 의료지원단 추가 모집 03 54 식약처 낙태약 약국서 일반약 판매 고려 안 해 좋아요 와 구독 은 의협과 의료계에 큰 힘이 됩니다. 카톡 페이스북 블로그 등에 공유 부탁드립니다. 알림 설정을 해 놓으면 새로운 영상을 바로 확인할 수 있습니다. 화면 오른쪽 아래 버튼 누르고 720 60 이상으로 설정하면 고화질로 보실 수 있습니다. 의협 공식 홈페이지 . . 의협 페이스북 . . 의협 트위터 . 의협 네이버 블로그 . . 의협 다음 블로그 . . 의협신문 . . . 간호단독법 폐기 의사 자율징계권 신경과 전공의
730,2021-11-24,UC7veJl4E23uPDXoVu-0qYAA,"[한보선 아나운서] ""필수적"" vs ""이익 목적""…간호법 제정 갈등 격화",투데이고용플러스 20211124 간호사의 업무와 역할 등은 현재 의료법에 담겨있습니다. 그런데 의료법의 간호사 규정을 따로 떼서 다루는 간호법 이 국회 심의를 앞두고 있는데 갈등이 격화하고 있습니다. 간호사 단체와 의사 단체 입장이 첨예하게 대립하는 탓인데 왜 그런지 김민혜 기자가 살펴봤습니다. 방송 시간 월 금 오후 8시 30분 채널 한국직업방송 189번 273번 252번 251번 헬로비전 235번 210번 진행자 한보선 아나운서 간호법 의료법 간호사업무 간호학과 뉴스 한보선
729,2021-11-25,UCTTmtS2ljy1vyl_s-d_LEHQ,"[뉴스하이킥] '간호법' 제정, 의사협회의 반대는 '반대를 위한 반대' - 신경림 (대한간호협회장) [표창원의 뉴스 하이킥] | MBC 211125방송",2021년 11월 25일 표창원의 뉴스 하이킥 전화 연결 신경림 대한간호협회장 표창원의 뉴스 하이킥 홈페이지 . . ... 트위터 . 959 카카오 . . 3519894 ... 네이버 . . 628262 간호법제정 간호법 간호조무사 대한간호협회 대한의사협회 의사협회간호법반대 신경림 표창원의뉴스하이킥 뉴스하이킥 표창원 표창원라디오
727,2021-12-15,UC8WLOh6UrALDSQ6ZmPjXJ9A,"[현장영상] “‘코로나 영웅’ 칭호보다 권리를” 대한간호협회, 국회 앞 간호법 통과 촉구 집회",코로나 영웅 칭호 하나로 참고 버티는데 그 칭호 내려놓고 싶어요. 대한간호협회 소속 회원들이 15일 오전 국회의사당 앞에서 간호법 제정을 촉구하는 수요집회를 열었습니다. 이날 집회는 국회의사당 정문을 비롯해 더불어민주당 국민의힘 당사 등 총 5곳에서 동시에 열렸는데요. 이날 집회에 참여한 현직 간호사 등은 코로나19 등 국가적 재난 상황에서 묵묵히 활동하는 간호사들을 위해 독립된 법률이 필요하다고 목소리를 높였습니다. 대한간호협회 간호사 간호법 국회 집회
728,2021-12-15,UCSd6jlFPB6iVG3eCTH7XJZA,"""국민에게 반드시 필요한 민생 법안""…대한간호협회, 간호법 제정 촉구 수요집회",대한간호협회 진료 수요집회 퇴출 약속 대한간호협회 시 도 대표자들과 간호사 등 참석자들이 21년 12월 15일 서울 여의도 국회 정문 앞에서 간호법 제정과 불법진료 불법의료기관 퇴출을 촉구하는 수요집회를 하고 있다. 시사포커스 는 창간 35년 정통언론 시사포커스에서 스마트 영상시대를 맞이하여 각색없는 진짜뉴스만을 제공하고 있습니다. 시사포커스 를 시청하시면 공중파 또는 종편 방송에서는 볼 수 없는 좀 더 자세한 뉴스와 개인 유튜브에서는 보기 힘든 국회등 현장의 목소리를 시청 하실 수 있습니다. 더욱 발 빠르게 소식을 전하는 시사포커스 가 되겠습니다. 아래 주소를 클릭하셔서 구독과 좋아요를 눌러 시사포커스를 키워 주십시오. 주변 지인들께도 구독을 권해 주시고 여러분들의 에 시사포커스 영상을 공유 해 주시면 대단히 감사하겠습니다. 시사포커스 기사제보 여러분의 기사제보를 기다리고 있습니다. 현장의 소리를 팩트에 기반하여 신속하게 보도하겠습니다. 02.323.2223 02.323.1616 01 . . 여러분의 자율구독료는 시사포커스 에서 좋은 방송을 만드는데 큰 도움이 됩니다. 시사포커스 후원방법 후원 1877 1619 자율구독료 국민은행 463501 01 278662 일간시사신문 해외 자율구독료 국민은행 463501 01 278662 일간시사신문 시사포커스 구독하기 . 2 출처를 밝히더라도 영상 재가공 무단 복제 재배포 등 모든 것 을 허용하지 않습니다. 이를 어길시 모든 법적 책임은 무단 사용자에게 있음을 분명히 밝힙니다
726,2021-12-28,UC3NuLJUu3TEi574grrrLVdA,“간호법 제정 및 불법진료 불법의료 기관 퇴출”,대한간호협회 간호사 간호법제정
725,2022-01-06,UCV82yZT11MnEiX9wVgcLkww,"""이재명 공약, 세계적 자랑거리 건강보험 망칠 것""/ 의사 10명 중 9명 ""수술실 CCTV 반대""/ 새해 첫 만난 의료계·정부 '협력’ 다짐 / 여의사들도 ""간호법 제정 반대""",뉴스브리핑 2022년 1월 7일 자 00 06 의료계 정부 신년 첫 만남 화합 협력 다짐 01 05 이재명 탈모 치료 급여화 의료계 포풀리즘 02 09 여자 의사들도 독립 간호법 제정 강력 반대 02 52 의사 10명 중 9명 수술실 반대 고수 04 08 의사 국시 도입 멀티미디어 문항 첫 선 좋아요 와 구독 은 의협과 의료계에 큰 힘이 됩니다. 카톡 페이스북 블로그 등에 공유 부탁드립니다. 알림 설정을 해 놓으면 새로운 영상을 바로 확인할 수 있습니다. 화면 오른쪽 아래 버튼 누르고 720 60 이상으로 설정하면 고화질로 보실 수 있습니다. 의협 공식 홈페이지 . . 의협 페이스북 . . 의협 트위터 . 의협 네이버 블로그 . . 의협 다음 블로그 . . 의협신문 . . . 이재명 탈모 여의사 간호법 수술실
724,2022-01-12,UCV82yZT11MnEiX9wVgcLkww,"병의협 ""국민 기본권 볼모로 방역패스 강요 말라""/ 대선 후보들 '간호법 지지'...의료계 ""총궐기 투쟁""/ 이재명 후보 '실손청구 간소화' 공약 논란/ 전공의들 ""수련환경 엉망""",뉴스브리핑 2022년 1월 13일 자 00 07 방역패스 둘러싸고 정부 국회 의 료계 논란 01 06 대선 후보들 간호법 지지 의료계 투쟁 반발 02 09 이재명 후보 실손보험 청구 간호화 공약 논란 02 56 정의당 의협 보건 의료 정책 파트너십 공감 03 47 수련 환경 엉망 경험 부족 전문의 양성 우려 좋아요 와 구독 은 의협과 의료계에 큰 힘이 됩니다. 카톡 페이스북 블로그 등에 공유 부탁드립니다. 알림 설정을 해 놓으면 새로운 영상을 바로 확인할 수 있습니다. 화면 오른쪽 아래 버튼 누르고 720 60 이상으로 설정하면 고화질로 보실 수 있습니다. 의협 공식 홈페이지 . . 의협 페이스북 . . 의협 트위터 . 의협 네이버 블로그 . . 의협 다음 블로그 . . 의협신문 . . . 방역패스 간호법 전공의
723,2022-01-13,UCwRljhjVWtLqAKbsWGPU_OA,"""국민건강을 위한 간호법 제정 ""-대한간호협회 신경림 회장 #간호법 /[YTN라디오 슬기로운 라디오생활]",라디오 94.5 뉴스 슬기로운 라디오생활 방송 일시 2022년 1월 14일 금요일 진행 이현웅 아나운서 출연 신경림 대한간호협회 회장 당신에게 꼭 필요한 생활정보 슬기로운 라디오생활 수원특례시 수원시장 간호협회 간호사 지방자치법 복지제도 수원시 윤리준법경영 권익위 지속가능경영 경영 코로나19 구독과 알람을 설정하시면 라디오의 더 많은 프로그램을 보실 수 있습니다. 많은 댓글과 좋아요 부탁드립니다. 라이브 방송 안내 슬기로운 라디오생활 10 30 11 30 슬기로운 라디오생활 홈페이지 . 33 슬기로운 라디오생활 프로그램 소개 . 4 2 슬기로운 라디오생활 인터뷰 전문 . 슬기로운 라디오생활 오늘의 방송내용 . 슬기로운 라디오생활 다시 듣기 . 2 4 라디오 유튜브 구독 . 2 9 9 라디오 모바일 앱 . 3 4 . 2 6 제보 및 의견 문자 0945 짧은 문자 50원 긴 문자 100원 라디오 페이스북 . .
722,2022-01-13,UCV82yZT11MnEiX9wVgcLkww,"먹는 코로나 치료제 오늘부터 처방...대상은? / 의료계 반발 고조 ""간호법 제정하면 강력 투쟁""/ 4년 만의 경선…대공협 회장 선거 열기/ '장정결제' 의사 구속 사건 2심 선고",뉴스브리핑 2022년 1월 14일 자 00 07 먹는 코로나19 치료제 오늘부터 처방 시작 01 12 간호법 반발 수위 높이는 의료계 투쟁 불사 01 55 장정결제 사건 의대 교수 2심에서 집행유예 02 55 전공의 평균 월급 382만 원 주 77시간 근무 03 50 4년 만의 경선 대공협 회장 선거 열기 고조 좋아요 와 구독 은 의협과 의료계에 큰 힘이 됩니다. 카톡 페이스북 블로그 등에 공유 부탁드립니다. 알림 설정을 해 놓으면 새로운 영상을 바로 확인할 수 있습니다. 화면 오른쪽 아래 버튼 누르고 720 60 이상으로 설정하면 고화질로 보실 수 있습니다. 의협 공식 홈페이지 . . 의협 페이스북 . . 의협 트위터 . 의협 네이버 블로그 . . 의협 다음 블로그 . . 의협신문 . . . 팍스로비드 간호법 장정결제
