,작성일,작성자,제목,내용
1319,2015-01-08,ddeni_unni,,간호법제정을 위한 100만서명운동 국민건강중심 간호인력개편 꼭필요해요 동참해쥬세요
1318,2015-04-09,bongbongsssi,,교육끝나니까 꿀같은 오프가 끝났당 공통필수교육 오프 내일은 데이출근..잠잘준비해야됨 국회의원이와서 간호법에 대해 교육했는데 ..참오래전부터 간호사와간호조무사의 법적관계가 꼬여있었넹..집에 들어가지말고 나와주세욥 간호사 소방교육 셀카 셀스타그램
1317,2015-04-29,junhooindra,,초회 한정판 영채 간호 법서 누구나 쉽게 영채를 간호할수 있는 모든 노하우가 총망라. 이제 파보장염 꺼졍 100번 꺼졍.. 알기쉽게 삽화 수록. 자세한 글설명 불친절한 글씨.. 악필 처음부터 모두 수작업 총 8페이지 5 파트 보나스 손편지 수록. 글쓴이 장준후 엮은이 장준후 연보라빛 손그림 영채간호법서 파보장염꺼졍
1316,2015-05-27,eun_seo_yo,,간호법제정 간호사
1315,2015-05-27,park_6,,뭐하는건지모르겠음 간호사 간호법 이대목동 신경림 우엉차 기다림 배고픔
1314,2015-08-06,ji_s._,,2015년8월6일 백의의천사 나이팅게일 간호사 전쟁 따뜻 백의의 천사 나이팅게일 간호사는 사람의 생명을 구하는 중요한 일이에요. 전쟁에 맞서 싸운 병사들을 간호해줘 수많은 칭찬과 감사의 편지 그리고 간호학교를 세우는데 써 달라는 돈을 받았지만 자신에 대한 칭찬보다 죽어간 병사들을 먼저 생각했다. 집안의 반대를 무릅쓰고 당시로서는 천대받던 간호사가 되어 크림 전쟁에 참전했을 뿐 아니라 간호사 양성 학교를 설립했으며 간호법에 관한 책을 서술하기도 했다. 지금도 간호사의 모범으로서 후세 사람들의 존경을 한몸에 받고 있다. 나이팅게일은 한 개인의 희생이 얼마나 큰 힘으로 우리에게 행복을 가르쳐 주고있는지는 다양한 병원의 간호사에게 느낄 수 있다. 따뜻한 마음으로 치료해주시고 돌봐주시는 나이팅게일의 마음을 가진 간호사님들에게 참 감사하다
1313,2015-08-23,anniee_eeee,,안녕하세요 간호학과 에 재학중인 2학년 학생입니다. 다름이 아니라 이 엄청난 상황에 대해서 알리고 또 많은 분들의 참여를 부탁드리고자 이 글을 씁니다. 저희 나라에서는 약 33만 명의 간호사면허증 을 가진 간호사 가 있습니다. 하지만 그들 중 약 14만 명의 간호사 분들만 의료현장에서 열심히 맡은 바를 다하고 계십니다. 의료선진국이라 불리우는 미국의 경우 전체 면허간호사 중 82 의 간호사가 의료현장에 있지만 저희 나라는 42 밖에 되지 못하는 이유는 임신순번제 간호사 한 명에게 맡겨진 많은 환자들로 인한 과도한업무 등과 같은 여러 사회적인 문제와 열악한 근무 환경으로 인한 것이 큽니다. 이러한 상황 속에서 많은 간호사 선배님들과 많은 의료진들께서는 지난번 메르스바이러스 때 전문간호인력이 부족한 열악한 상황을 견뎌내셨고 결국 우리는 이렇게 안심하며 하루하루를 살고 있었습니다. 하지만 며칠 전 보건복지부에서 발표한 2년제간호보조인력신설 개편안 은 늘 환자를 생각하며 그들을 위해 노력하는 수 많은 간호사 선생님들과 또 그들처럼 되기를 희망하며 공부하고 있는 많은 간호학과 학우들에게 큰 실망만을 안겨주고 있습니다. 이 법안에 따르면 2년제 간호지원사 간호조무사 가 보건복지부 장관 면허로 의료인이 되고 현재 법으로 지정된 의료인은 의사 치과의사 한의사 간호사 조산사 1년제는 경력 상승이 가능하며 간호사와 간호지원사의 업무 구분도 명확하지 않습니다. 미국 의 경우 간호법 에서는 간호사가 간호 상황에 따라 간호업무 를 위임할 수 있다라고만 되어 있습니다. 그 이유는 위임할 수 있는 일이 그 상황에 따라 다르기 때문입니다. 이처럼 간호업무를 환자상태에 따라 고려하지 않고 위임하는 것은 환자의 상태를 위협합니다. 의원입법과 달리 정부입법은 2 3달이 걸려 국정감사 예상심의 등을 해야하고 총선을 앞둔 시기인 지금 충분히 막아낼 수 있다고 합니다. 또한 2년제 반대 간호협의체 가 간호인력개편안 의 문제점을 알리고 설득하여 의료법 개정안 의원입법 발의 를 막았다고 합니다. 이에 보건복지부는 정부입법 으로 법안발의 를 하여 8월 21일부터 입법예고 기간입니다 간호사 이신 분들도 가능하지만 그렇지 않은 국민 들도 가능한 반대의견서명 입니다. 북한 으로 인해 혼란한 나라 상황이지만 우리나라 의 미래를 위해서 해야할 또 다른 일입니다. 기간은 9월 4일까지 이므로 꼭 참여를 부탁드립니다.
1312,2015-09-04,joo___hh,,지금 현재 간호조무사를 2년 교육시키고 간호지원사 1 2 급으로 이름을 바꾸는 의료법 개정안의 의견을 수렴하고 있습니다. 게다가 간호지원사 1급은 보건복지부장관의 면허를 준다고 합니다. 8월 21일 부터 9월 4일 까지 입법 예고를 하고 의견을 수렴하고 있습니다. 반대 의견이 10만명이 넘으면 입법안이 무효가 된다고 합니다. 간호사 간호학생 가족 친지 친구 누구라도 상관 없습니다. 반대 의견을 쓰고 우리 간호사의 권리를 지키도록 합시다. 9월 4일이 며칠 남지 않았습니다. 시간 안에 10만명이 채워질 수 있도록 힘을 모아 봅시다. 서명 참여방법 보건복지부 정보 법령 입법 행정예고 목록에서 2387번의 내용을 찾아 아랫쪽에 있는 의견쓰기 클릭 본인인증 반대의견 쓰고 저장 간호인력개편안 간호인력개편반대 보건복지부 간호사 간호학생 조무사 간호지원사 간호인력개편안전면폐지 간호인력개편안반대 의료법 간호법제정 의료법개정안 의료인 널스타그램
1311,2015-09-05,sjsl1202,,서명운동 대한간호협회 간호사 간호법제정 간호사의 힘을 보여줍시다 대국민참여
1310,2015-10-29,goodgood99,,간호사 윗데이 간호법제정 트레킹 ..
