,작성일,작성자,내용
1237,2015-01-03,drugdevel,간협 김옥수 회장 간호법 제정에 역량집중 . 6 김옥수 대한간호협회 회장 사진 은 간호법 제정을 바탕으로 포괄간호서비스제도의 성공적인 정착과 간호관리료 차등제 및 노인장기요양보험제도의 개선에 만전을...
7750,2015-01-07,deul_pretty,. . . 간호법 제정을 위한 100만 대국민 서명운동 함께 참여해주세요
7749,2015-01-12,tkut_hyun,그러니까 아라타가 감기 걸렸을때 아오이가 간호해줬다는걸 전제로 지금 아오이가 감기 걸렸는데 아오이의 간호법을 그대로 따라하는 아라타를 빗대어 아오아라를 생성한단 말이지 일본 존잘님들 대단해..
7748,2015-01-12,wawajbmar,내가 아는 키즈식 간호법은.....죽 만들거나 옆에서 뭐해달라면 해주거나....아 찬건 먹이지 말고....
7747,2015-01-13,cherry_J_c,2925184 열나서 헤롱헤롱한데 본능적으로 이 간호법은 뭔가 잘못되었다라고 느낄듯....
7746,2015-02-02,DD_1_,감기걸린아오바에대한 공략캐들의 간호법이 보고싶다
7745,2015-02-10,DrJinmu,간호법 한의약법. 더이상 양방 의사의 갑질 희생양이 되어서는 안되겠습니다. . 76
7744,2015-02-10,SooJeong7,간호사들의 50년 숙원사업 간호법 제정을 2. 5 0 4 출처 주간조선 네이버 뉴스
7743,2015-02-20,Namaste97,대한간호협회 간호법 제정을 위한 홍보 웹툰 1화 열악한 간호사의 근무환경 . . . 12012
7742,2015-02-22,puffinne,간호법 정말 필요하다 다신 누가 개소리 못하게끔 명확하게 법적인 바운더리를 그어 놓아야 한다..
7741,2015-02-25,Hwiyun92,간호법이 제정되어 환자안전을 지킬 수 있기를... . . .
1236,2015-02-26,drugdevel,간호법 제정 간호정책 7대 과제 에 최선 . 5 7 간호법 제정 실현과 간호정책 7대 중점 과제를 위해 최선을 다하겠다 제82회 대한간호협회 정기 대의원총회가 26일 오후 2시 롯데호텔 크리스탈볼룸에서 ...
7739,2015-03-12,drugdevel,부산간호사회 간호법 제정에 힘 모아야 . 6 부산시간호사회가 올해 주요사업을 비전과 간호력 증강 회원 복지증진 및 간호 전문직 위상 제고 간호사업 전문성 강화 등 5개 항목으로 설정하고 세부적인 사...
7738,2015-03-13,medicalnews4,부산간호사회 간호법 제정에 힘 모아야 11일 정기 대의원총회 개최 대정부 건의문도 채택 . 1 6 . 4 576260718070140928 1
7737,2015-03-20,snow1004kr,인슐린은 간호법을 배워서 주사바늘로 투입해서 인체섭취시키는거잖아요 먹는것이 더 좋아.. 맛있게 먹으면 행복하잖아요
7736,2015-03-20,drugdevel,광주간호사회 간호법 제정 역량 모으자 . 광주광역시간호사회는 19일 오후 3시 광주시 서구 라마다호텔에서 제26회 정기대의원총회 를 개최했다. 광주광역시간호사회 제26회 정기대의원총회 이날 정...
7735,2015-03-26,zio_commu,250556 뭔가 자캐로 고통받는게 웃긴 뎈 마찬가지임 딘 입장에선 다행인데요 그런 간호법 받아본적 없엌 심하게 열나면 쉬었다가 좀 괜찮을때 병원가서 진단받고 약먹고 다시 쉴 녀석 이랔 알아서 다함
7734,2015-04-01,oY321Mo,그리고 간호법제정 서명 하나 채움
7733,2015-04-03,doc3news,신경림 의원이 간호인력 부족 문제 해결을 위해 정부가 나서야 한다고 목소리를 높였습니다. 병원간호사회 40주년 기념행사서 저수가 간호법 제정 등 개선 촉구... . 1 5
7732,2015-04-03,sagapride22,병원간호사 곽월희 미래간호 100년 도약 창립 40주년 기념 신경림 김옥수 ...간호법에 힘 모아야 2. 6 0 . 1
7731,2015-04-05,lsk35,특별 리포트 수술간호 임상간호법 이곳에서 확인해보세요 . 3
7730,2015-04-10,31662417419_,여기는 한국인데 내가 왜 시바 미국 간호법을 알아야돼
1235,2015-04-15,doc3news,건수간이 간호법 제정 추진에 제동을 걸고 나섰습니다. 간호인력개편 반대 서명운동에 이어 협회 간호법 안 공개하라 주장... . 27 5
7729,2015-04-15,RN_power,신경림의원은 간호법 제정과정을 공개하라 . 7
7727,2015-04-16,921years,921 많은 간호사들이 간호법 도움을 받아 조금 더 나은 병동에서 근무를 하는 날이 왔으면 좋겠다. 그런 의미에서 간호조무사 전문대 학과 개설 3단계 개편안 이런 건 집어치우고 간호조무사는 간호사의 일을 침범하지 말았으면 좋겠다
7728,2015-04-16,921years,921 문제가 아니라고 생각한다 한국 간호사 1인당 맡게 되는 환자의 수가 다른 국가보다 몇 배나 높고 높은 만큼 더 힘들기 때문에 더 그러는 것 같다 그럴수록 태움도 심해지고 이직률도 높아지고 간호법이 빨리 제정이 되어서 한국의
7726,2015-04-20,lliz_zll,나도 했었어 롤플레잉은 안했는데 시나리오 진짜.. 성인간호였는데 교수님이 원서에서 인용한 차트 던져주고 그거보고 질병진단해서 거기에 맞는 간호법 시나리오 쓰는거였음 진심 토할뻔
7724,2015-04-26,AMOT_U_U,1 그 간호법 역사는 간호의 역샄 다 섞여있어 큰일이얔
7725,2015-04-26,Orangemamal_,간호학과 널 간호해주고싶어 간호학과 학생들은 전부 병자들입니다... 간호법을 배워서 셀프간호를 하죠...에구... 죽어있다
7723,2015-05-02,ast_aub,일단 간호법 이나 제정해야. 마취과닥터들이 마취전문간호사들한테 위법이니 뭐니 하나본데 풋 아 나 간호사들이 병동에서 아이브이 인젝션 리퓨즈 하나만 해보라고 적법하게 말이지. 미쿡마취전문간호사 몰라 이것도 저것도 다 모르지 미개한.
7722,2015-05-03,Rikacheu,토리의 간호법 1 옆에 앉아있는다 2 찍 찍이라고 크게 운다
7721,2015-05-09,for_occident,중세 시대 공주들은 간호법을 배웠다. 나라에 전쟁이 일어나면 부상자들이 많아 치료해주기 위함이다. 또한 약초를 기르기도 했다.
250,2015-05-25,rue2fndp,대한간호협회 간호법 제정을 위한 홍보 웹툰 1화 열악한 간호사의 근무환경 . . . 12012 여러분 혹시 시간나시면 대한간호협회 사이트에서 간호법 제정 서명운동 참여해주실래요.. 진짜 간호법 제정되어야 하는데
7720,2015-06-06,Before_July_,아니 뭐 그건 예를 든거니까 꼭 그럴 필요는 함몰유두 간호법에는 남편이나 남친이 빨아주는 방법도 있다곤 하더라구요...
7719,2015-06-11,120524_931123,야무지게 시험말아먹고와야겠다 지역사회간호학 진짜 싫다 너무싫다 재미도없고 시험범위는 많고.. 간호법은 들춰보지도못했고오오
7718,2015-06-15,Leona4THiddy,4 괜히 전문직이 이 있는게 아니에요. 교육계가 반대하는데도 보복부와 새누리당 새정연이 합심하여 의료인력 하향화를 추진하는 이유는 뭘까요 간호법 제정을 계속 반대해온 이유가 뭘까요
7717,2015-06-15,Traveler3869,심장이 안좋은 개의 간호법 . . . . 28411
7716,2015-06-16,pbmarid5858,이번 기회에 간호법이나 개정하라고 말하고 싶지만 별로 그럴 의욕이 없어 보이네요
7715,2015-06-23,UE_o3o,712 ...치료는 받아봤지만 이런 간호는 처음인데.. 아무것도 안해도 괜찮은 거야 약은 아까 그게 끝이야 그... 나 일 안해도 괜찮아 상냥한 간호법에 더 적응을 못하고...
7714,2015-06-25,midousuji_hshs,2 그래 마나미한텐 그것외에 간호법은 몰라서 못하는 거라구 서로 번갈아가면서 돌봐주는 것도 좋겠다.
