,작성일,작성자,제목,내용
101,2019-05-07,UChRnJ6XdAANkCOJfmWSASgQ,"스토킹 범죄, 우리나라 처벌이 약한 이유는?_우상",스토킹 범죄 우리나라 처벌이 약한 이유는 본방송 매주 목요일 밤 11시 30분 많은 시청 바랍니다. 더 자세한 내용은 법률방송 . . 에서 볼 수 있습니다. 법률방송 구독하기 . 4 공식 홈페이지 . 공식 페이스북 . . 공식 트위터 . 방송사 법률방송 . .
100,2019-06-25,UCgocTCSiYaTyQiBDld0KFxA,"범칙금이 고작 8만 원인 스토킹, 엄중한 처벌이 필요하다",2016년 국회에서 스토킹 처벌법이 발의 되었지만 지금까지 관련 법안은 계류되어있는 상태입니다. 엄중한 처벌만이 신림동 강간 미수 사건 과 같은 범죄를 예방할 수 있습니다.
99,2019-06-25,UC4LW3sOslC14Vn5bcoNUBkg,오늘밤 김제동 - 스토킹의 처벌 수위는?.20190625,스토킹의 처벌 수위는
98,2019-09-28,UCuMqbUkaM_72H8aJ7B7weWw,스토킹 강력 대처법 대응법 I 스토킹 범죄 성립기준 처벌 I 사이버 스토킹 I 스토킹 방지법 (법보안관),최근 많이 발생되고 있는 스토킹 범죄에 대해 그 심각성을 인지하고 과연 어떤 것이 스토킹인지 그 성립 요건에 대해 먼저 알아보고 그에 따른 강력한 대응 방법에 대해 알아봅니다. 스토킹은 잠재적으로 향후 더 큰 범죄를 야기시킬 수 있기 때문에 만약 본인이 해당된다면 본 영상을 보시고 필히 초동조치를 적극적으로 하시길 바랍니다
97,2019-10-25,UCV9gIwasozKlwz5U2Sa2q6g,"이수정 ""여성 대상 범죄의 시작 스토킹, 처벌법 하나 없어""｜1인 가구 여성 노리는 범죄, 먹이 사냥 하는 심리｜이수정 경기대 범죄심리학과 교수｜시사자키 정관용입니다",이수정 여성 대상 범죄의 시작 스토킹 처벌법 하나 없어 1인 가구 여성 노리는 범죄 먹이 사냥 하는 심리 이수정 경기대 범죄심리학과 교수 시사자키 정관용입니다 시사자키 이수정 스토킹
96,2019-11-05,UCxsbCiADZza_NAr6pXJQCog,스토킹 범죄의 처벌등에 관한 법률 좀 엉뚱한 나만의 대처법공개,본인은 십여년의 채권추심경력과 더불어 법무법인의 사무장 경력으로 채권추심전문가로서 여러 언론사에 기고 및 인터뷰를 해왔습니다. 한편 본인은 본인의 처가 현재 대표변호사로 있는 법률사무소아신 02 2038 3778 에서도 본부장으로서 근무한 경력이 있습니다.이에 본인은 댓글로 질문하신 분들께는 간략하게 댓글로 답변을 드리고 있는데 다만 본인은 변호사가 아니기에 모르는 부분이 있으면 따로 물어서라도 답변을 드리는 것이고 이와 관련해서는 어떠한 비용도 받지 않고 있으며 단지 정보를 공유하신다면 충분히 만족합니다. 특히 변호사 선임에 있어 변호사의 법률적인 능력도 문제지만 브로커 등에 인한 트릭으로 인하여 여러분이 쓰지 않아도 되는 비용을 낭비하는 일이 너무 많기 때문에 본인의 영상 및 글을 보시고 불필요한 변호사비용을 낭비하시는 분이 없도록 하는 것에 그 목표가 있습니다. 마지막으로 모든 법률적인 문제는 시효가 있습니다. 따라서 변호사의 상담이 필요한 복잡한 문제는 미루지 마시고 가까운 변호사 사무실을 찾되 저의 오랜 실무 경험으로 변호사 상담은 법적수준이 보장된 사법시험출신 변호사와 상담하시는 것이 가장 좋습니다. 1 문의사항과 추천사이트 법률.기타 목록은 . . 채널에서 정보를 클릭하시면 볼 수 있습니다. 2 네이버 카페 . . ... 3 유투브 동영상 구독하서 댓글로 질문주세요. 필수 0 변호사선임료 눈탱이 맞지 맙시다 . 59 1 변호사상담주의점 . 1 2 민사소송 . 5 3 1 3 돈받아내는 방법 즉 채권추심 . 9 2 5 4 형사사건변호사선임필요없는경우 . 9 8 5 소송에서 패소하면 상대방변호사비 까지 물어줘야한다 .
95,2020-02-18,UC1ihKJ6GH37xoWdtllZqhLw,안철수 ‘스토킹·데이트폭력 처벌 강화’…여성안전 실천방안 발표,팩트 안철수 국민의당 창당준비위원장이 19일 디지털 성범죄 영상물의 소비자까지 처벌을 확대하고 스토킹 및 가정폭력 데이트폭력 처벌을 강화하는 여성안전 실천방안 을 발표했다. 안 위원장은 이날 국회 정론관에서 기자회견을 열고 디지털성범죄는 피해자가 자살에까지 이르는 심각한 사회적 범죄지만 가해자들을 제대로 처벌할 법적 장치는 미비하다 며 기존의 낡은 법과 제도를 바꾸고 여성안전에 대한 사회인식 개선이 이뤄져야 한다 고 말했다. 이어 최근 디지털성범죄는 번방 사건과 같이 시청자가 불법 촬영물을 시청하는 데 그치지 않고 적극 가담하는 양상으로 변모하고 있다 며 처벌 대상을 시청자까지 확대하는 법안이 필요하다 고 주장했다. 나아가 안전은 인권과 복지를 누리기 위한 기본 중의 기본이며 국가가 책임져야 할 가장 중요한 문제 라면서 국민의당은 여성이 안전한 사회를 만들기 위해 21대 국회에서 5대 정책을 추진하고자 한다 고 밝혔다. 그러면서 선진국 수준의 스토커방지법 추진 가정폭력 및 데이트폭력 처벌 강화 무력 사용한 성폭력 범죄 엄벌 디지털성범죄 전담부서 설치 성평등 교육 강화 등을 여성안전 실천방안 으로 제시했다. 영상 제보 받습니다 진실언론 팩트 가 독자 여러분의 소중한 제보를 받습니다. 뉴스 가치나 화제성이 있다고 판단되는 영상을 . 로 보내주시면 적극 반영하겠습니다. 팩트 정기후원회원이 되어주세요. 신청 1877 0411 직접신청 . 1 공식후원계좌 우리은행 1002 142 508338 이상엽 이 영상의 저작권은 팩트 에 있습니다. 본 영상물은 공유 및 소스코드 배포에 한해 허용합니다. 그 외 임의적인 편집 및 가공은 영상출처를 밝힌다해도 본사의 허락없 이 사용할 경우 저작권법 위반에 해당합니다. 팩트 . 촬영 배희옥 김대왕 김준영 이정환 글 신혁
94,2020-03-30,UCcQTRi69dsVYHN3exePtZ1A,'박사방 공익' 7년 스토킹에도 솜방망이 처벌...살해모의로 이어졌다 / KBS뉴스(News),조주빈을 도와 텔레그램 박사방 운영에 가담했던 공익요원 강 씨는 고교 담임 교사를 무려 7년간이나 스토킹했지만 솜방망이 처벌을 받고 풀려나 어린이집에 다니는 이 교사의 딸을 살해할 계획도 세운 것으로 드러났습니다. 기사 더보기 . 2 뉴스 보기 . . . 모바일 . . . 제보안내 카카오톡에서 뉴스 검색 전화 02 781 1234 홈페이지 . 4 이메일 1234 . . 뉴스 유튜브 구독하기 . 뉴스 유튜브 커뮤니티 . 6 박사방공익 조주빈 조주빈공익
93,2020-03-30,UCcQTRi69dsVYHN3exePtZ1A,7년 스토킹 '솜방망이 처벌'...딸 살해모의로 이어졌다 / KBS뉴스(News),조주빈을 도와 텔레그램 박사방 운영에 가담했던 공익요원. 이 남성은 옛 고교 담임 교사를 무려 7년간이나 스토킹했는데 처벌을 받아 옥살이를 하고도 출소 뒤에 또다시 찾아갔고 담임 교사의 딸까지 살해할 계획도 세운 것으로 드러났습니다. 기사 더보기 . 2 뉴스 보기 . . . 모바일 . . . 제보안내 카카오톡에서 뉴스 검색 전화 02 781 1234 홈페이지 . 4 이메일 1234 . . 뉴스 유튜브 구독하기 . 뉴스 유튜브 커뮤니티 . 6 조주빈 7년스토킹 박사방공익요원
92,2020-03-30,UCcQTRi69dsVYHN3exePtZ1A,[자막뉴스] 7년 스토킹 ‘솜방망이 처벌’…딸 살해모의로 이어졌다 / KBS뉴스(News),조주빈과 함께 박사방을 운영한 공익요원 24살 강 모 씨는 지난해 3월부터 수원의 이 구청에서 일했습니다. 강 씨는 조주빈에게 돈을 주고 어린이집 원아를 살해해달라며 어린이의 신상 정보를 빼내 조 씨에게 넘긴 것으로 알려졌습니다. 영통구청 가정복지과 관계자 보육경력증명서 발급 업무를 보조했었습니다. 직원이 자리에 없는 사이에 그러지 않았나 싶습니다. 어린이는 강 씨의 고등학교 1학년 담임교사의 딸이었습니다. 스토킹 피해자인 담임 교사는 청와대 청원에서 7년간 강 씨에게 스토킹을 당해오다 딸이 살해당할 위험에 처하게 됐다고 호소했습니다. 2015년부터 3년간 문자메시지로 도청 카메라 해킹 부모님의 신상정보 등을 언급하는가 하면 살인 청부까지 예고하기도 했습니다. 강 씨가 이런 신상정보를 빼낼 수 있었던 건 공공기관에서 개인정보를 다루면서부텁니다. 강 씨는 이 병원에서 사회복무요원으로 근무하면서 담임 교사의 신상을 빼냈습니다. 집주소를 알아낸 뒤 협박편지를 두고 가기도 했습니다. 강 씨는 결국 상습협박 등의 혐의로 붙잡혔지만 재판에선 징역 1년 2개월이라는 처벌을 받았습니다. 법원은 범행이 장기간 동안 이뤄졌고 협박 내용이 매우 잔혹 하다면서도 피고인이 반성하고 있고 정신질환을 앓는 점을 고려했다 고 밝혔습니다. 출소 뒤 강 씨는 다시 구청에서 일하며 담임교사 딸의 살해를 모의했던 겁니다. 김경수 자문 변호사 이런 행위들을 따로 규정해서 처벌하는 법률은 현재는 없습니다. 경찰이나 검찰이나 법원에 종사하는 사람들이 피해자의 아픔과 고통을 이해하면서 좀더 철저하게 사실을 규명하고... 강 씨에 대한 신상공개 청원은 이틀 만에 40만 명이 넘게 동의했습니다. 뉴스 이유민입니다. 조주빈 번방 스토킹
