,작성일,작성자,내용
5968,2013-01-01,Able_25,2013년 바뀌는 제도 아동 성범죄에 대한 처벌이 무기징역 또는 5년 이상 징역으로 높아집니다. 강간죄 형량도 무기징역 또는 5년 이상으로 강화 성범죄 친고죄 폐지 스토킹 같은 범죄 범칙금 부과 항목 새로 편입
5967,2013-01-01,Lyrin__,디 패치는 진짜 사회악이다 저거 스토킹으로 처벌 못하나
1300,2013-01-01,younguknim,스토킹 8만원 25 2013년 바뀌는 제도 아동 성범죄에 대한 처벌이 무기징역 또는 5년 이상 징역으로 높아집니다. 강간죄 형량도 무기징역 또는 5년 이상으로 강화 성범죄 친고죄 폐지 스토킹 같은 범죄 범칙금 부과 항목 새로 편입
5966,2013-01-02,Oh_Mok,2013년 달라지는 것들 방 흡연 금지 . . 1 . 31884 13 1067 3월부터 경범죄 처벌 항목이 28개 늘어나 스토킹은 범칙금 8만 원 허위광고와 암표매매는 16만 원을 물게 된다. 아동이나 청소년 대상 성범죄자에 대한 형량은
5965,2013-01-02,di_hanara,3월부터는 경범죄 처벌 항목이 늘어난다고 합니다. 예 스토킹 행위 범칙금 8만. 6월 19일부터 성범죄자 친고죄 조항이 삭제 되며 피해자 범위도 부녀 사람으로 변경 아동 성폭렴범의 법적형이 무기 또는 징역 유기징역으로 상향 조정.
5964,2013-01-08,bluedragon1376,경범죄 범칙금 신설 범칙금을 부과하는 경범죄 처벌 항목이 3월부터 28개 더 늘어난다. 타인을 괴롭히는 스토킹 8만원 등이 범칙금 부과 항목에 새로 편입됐고 허위광고 암표매매 등 경제범죄에도 16만원의 범칙금이 책정됐다.
1299,2013-01-15,HeavenlyPiano,이런 이야기를 왜 여기서 나누냐 하면 요즘 수많은 여자들이 이와 비슷한 일을 당하면서 고통을 겪고 있다는 것을 알기 때문이다. 내가 당한 일은 아무것도 아니지만 스토킹에 대한 처벌의 기준도 성폭력과 마찬가지로 모호하고 기껏해야 솜방망이 처벌이다.
5963,2013-01-15,josef_kr_bot,일단 넌 할아버지의 스토커야. 그리고 스토킹은 범죄고. 범죄자는 그에 합당한 처벌을 받아야 하니까 사라져라
5962,2013-01-15,crzbro,지금까진 스토킹을 처벌하기 위해 형법상 협박죄나 주거침입죄 또는 정보통신망이용촉진 및 정보보호등에 관한 법률이나 성폭력범죄의 처벌 등에 관한 특례법 등을 적용해야 했지만 이젠 경범죄처벌법을 직접 적용하게 되었네요. 물론 형법 등은 여전히 적용 가능
5961,2013-01-18,EnglishDivide,스토킹 처벌 징벌적 손해배상 필요하다 한국경제신문 기고 안준성 미국변호사 . . . 2013011714631
5953,2013-01-20,hjlv2378,침묵 스토킹 할아버지 처벌 노동자 해고... 박근혜의 답은 . 7 1
5954,2013-01-20,cs100pro,스토킹 할아버지 처벌 노동자 해고... 박근혜의 답은 .
5957,2013-01-20,ckd7758,스토킹 할아버지 처벌 노동자 해고... 박근혜의 답은 . . . 0001826870 아이고춥고힘드시죠... 가망이없어보이는데 야들이랑 대화는커녕 기자들에게도물만맥이는 아그들인데 닭그네 인수위...
5955,2013-01-20,Terraters,인수위 앞으로 몰리는 1인 시위 ... 대통령 당선자가 해결할 문제 스토킹 할아버지 처벌 노동자 해고... 박근혜의 답은 .
5959,2013-01-20,koko6537,이외수 사수 스토킹 할아버지 처벌 노동자 해고... 박근혜의 답은 요즘 서울 종로구 삼청동 금융연수원 앞에는 형형색색의 팻말을 든 사람들이 모인다. 지난 7일 제18대 대통령직인수... .
5952,2013-01-20,saramimeonjeoda,스토킹 할아버지 처벌 노동자 해고... 박근혜의 답은 . 인수위 앞으로 몰리는 1인 시위 ... 대통령 당선자가 해결할 문제
5956,2013-01-20,jonghee1,스토킹 할아버지 처벌 노동자 해고... 박근혜의 답은 . 95
5960,2013-01-20,OhmyNews_Korea,스토킹 할아버지 처벌 노동자 해고... 박근혜의 답은 . 7 1
