,작성일,작성자,제목,내용
315,2019-05-02,UCubBew837UnEBDvAU000Log,"[청년정책x채니] 청년내일채움공제 소개 영상! (손글씨,글씨체,손그림)",청년정책 채니 청년내일채움공제 소개 영상 손글씨 글씨체 손그림 안녕하세요 채니입니다 오늘 영상은 제가 정말 좋은 기회를 가지고 제 채널에 정말 좋은 정보를 전해드릴 수 있는 두번째 영상을 제작하게 되었어요 봐주시는 분들께 도움이 되길 진심으로 바라며 또 다른 좋은 영상 가지고 찾아올게요 다음 영상은 다이어리 꾸미기 영상이에요 다음 영상에서 만나요 감사합니다 인스타그램 영상 제작에 도와주셔서 감사합니다
314,2019-05-02,UCn8WFi6pE4cJZP8MiUNGFxg,청년정책 총괄 컨트롤타워 만든다,정부 부처별로 쪼개져 시행되는 청년정책을 총괄할 컨트롤 타워가 만들어집니다.
313,2019-05-03,UCOo1TMHUNV0zhBdIo6aN3vg,[청년정책 당•정•청 협의안 발표],더불어민주당에서는 청년미래연석회의를 구성하여 당 정 청 협의회를 통해 청년정책 청년예산을 반영할 예정이다. 청와대는 시민사회수석실 내 청년정책담당관을 신설한다. 국무총리실에서는 청년 기본법 규정으로 총리직속 청년정책조정위원회 설치 및 국무조정실 내 청년정책추진단을 구성한다. 또한 관계부처 및 지자체별로 청년정책책임관 지정.운영이 의무화되며 당정청은 청년정책 5개년 기본계획을 수립하고 장기적인 관점에서 정책을 시행할 것이다. 그리고 청년 삶 실태조사를 실시 청년들의 어려움을 지표화하여 실질적인 정책과 예산을 이끌어낼 것이다.
310,2019-05-14,UCJP19w0neP0JmnqLdYtiSzA,제천시 청년이 바라는 청년정책 시급,제천시 인구정책의 일환으로 청년이 바라는 청년정책의 부재와 지나치게 지역 대학생 중심이라는 지적이 나왔다 제천시 인구정책 용역보고회에서는 지역출신이든 아니든 제천에 관심 있는 청년들에 대한 개방형 자세와 일자리 고용에 대한 정보 창업지원 기초생활을 영위할수 있는 적극적인 행정적 지원이 필요하다는 평가다
309,2019-05-14,UCRZXiNgU35DCyC8oFxIX1-w,우리나라 no.1 청년정책 네비게이터 ▶채널스물아홉◀을 소개합니다☆,너무 많은 청년정책 어디서 찾아야 할까요 어려운 청년정책 쉽게 볼 수 있을까요 까다로운 청년정책 쉽게 지원할 수 있는 방법을 알려주는 곳은 없을까요 채널스물아홉 은 여러분들이 청년정책과 친해지고 더 많은 혜택을 받을 수 있도록 청년정책을 친절하게 알려드리는 콘텐츠를 제작하고 있어요 앞으로도 채널스물아홉의 팬이 되어주세요 기획 꾸망이 . 영상편집 김민수 2004 . 채널스물아홉 만나는 여러가지 방법 . . 채널스물아홉 . . 29 . 29 . . 29 청년정책 네비게이터 채널스물아홉
307,2019-05-31,UCEsWtfVdAK8soPcDuVqu58g,겉도는 청년 정책... 청년 의견 수렴 강화 [MBC경남 뉴스데스크] 190531,겉도는 청년 정책... 청년 의견 수렴 강화 경남 이재경 기자 홈페이지 . . 페이스북 . . 인스타그램 . .
305,2019-06-03,UCdK-RQl71_IKJOEsUHCN7zg,"권정선 의원 ""경기도 청년정책은 과감해야 성공""",다음은 경기도의회 권정선 의원과의 일문일답. 정치 입문하게 된 계기는 대학교에서 사회복지강의를 10년 정도 했고 부천에서 어린이집을 18년 정도 운영하며 전국어린이집연합회 수석부회장으로 전국단체를 12년 정도 이끌었다. 부천에서도 전체회장을 했었고 경기도에서도 민간 부회장을 하기도 했다. 그러면서 보육정책에 관한 것 때문에 국회를 많이 갔다. 보육정책토론회를 1년에 한 번씩 찾아가서 정치하시는 분들을 만나서 많은 정책을 말씀드렸는데 얘기를 하면 늘 될 것 같은데 특별히 바뀌는 것이 없었다. 밤을 새워서 준비한 정책이었는데 절실한 현장의 목소리를 너무 모른다고 생각했다. 만약에 제가 정치를 하게 된다면 작은 문제라도 내가 할 수 있는 부분을 하나씩은 해주고 싶어서 정치에 시작하게 됐다. 경기도의회 입성 첫 느낌은 어땠나 생각했던 것과 너무 달랐다. 특히 어떤 일을 하기에 절차나 규칙 같은 것이 참 많았다. 그래도 그동안 활동했던 모든 부분이 굉장히 도움이 많이 됐다. 그래서 빨리 배운다는 얘기를 많이 들었다. 정치라는 것이 혼자 한 번에 바꿀 수 있는 것이 아니라 주변의 모든 절차를 다 거쳐야 하기 때문에 시간이 필요하고 그 시간 동안 의원이 어떻게 활동하느냐에 따라 변화를 가지고 올 수 있다고 생각했다. 초선이다. 어떤 목표가 있을 것 같은데 처음에는 그동안 해왔던 보육 쪽을 가고 싶었다. 지역구 위원장인 김상희 의원님이 오랫동안 보건복지 쪽에 계셔서 자연스럽게 보건복지위원회에 들어오게 된 것 같다. 열악하거나 소외된 부분의 복지사업을 넓히고 정책적인 조례를 통해 지원해 줄 수 있는 부분에 대해 노력하려고 한다. 초선이 제일 무섭다는 말이 있는데 기존 다선의원들은 안 된다는 것을 알면 미리 접지만 오히려 초선이기 때문에 왜 안 되는지 정책적으로 어떻게 뒷받침돼야 가능한 건지 분명하게 답변 받아 처리해 나갈 생각이다. 도민의 목소리에 귀 기울이고 끝까지 같이 해 나가는 것이 목표다. 약 1년이 지났다. 가장 기억에 남는 의정활동은 첫 번째는 매년 여름철마다 어린이 통학버스에서 질식사고가 발생한다. 사고의 근본적인 해결책을 찾아서 막아야겠다고 생각했고 모든 사람이 다 내리고 벨을 맨 뒤에서 누르지 않으면 문을 닫을 수 없는 시스템인 차일드 슬리핑 체크 를 5분 발언에서 제안했었는데 그게 정책화된 게 기억에 남는다. 또 그동안 경기도의 어린이와 노인을 대상으로 하는 독감 무료 예방접종이 3가 백신이었다. 세계보건기구 에서 4가 백신을 권장하고 질도 4가가 더 좋다. 5분 발언을 통해 제안했고 정책화되어 이젠 임산부까지 4가 백신을 무료로 접종받을 수 있게 돼 굉장히 보람이 있었다. 지역에서는 정명고등학교 등하굣길이 너무 가팔라서 비가 오거나 눈이 오면 미끄러지고 아주 위험한 상태였다. 그동안 많은 정치인이 노력했지만 여러 가지 이유로 안 되다가 제가 특별조정교부금으로 예쁜 숲길을 만들었다. 이번에 착공식을 하는데 많은 보람이 있다. 정치 철학이 있다면 대부분의 사람들은 의원들이 얼굴을 많이 비추면 열심히 일한다고 생각한다. 그러나 그런 것에 개의치 않고 정말 필요하고 소외된 부분에 경기도의원으로 할 수 있는 일을 하고 싶다. 예를 들어 장애인 정책 같은 경우는 그들에게는 절실하지만 사람 숫자로 따지면 적은 숫자이기 때문에 정치인들에게 외면을 받는다. 저는 보이는 정치가 아니라 정말 필요한 곳에 필요한 생활 정치를 하고 싶고 그것이 바로 나의 정치 철학이다. 관심에 두고 있는 현안은 경기도 인구의 4 가 장애인이다. 그런데 장애인들이 65세가 되면 노인장기요양보험제도 대상으로 편입되면서 4시간만 보살핌 서비스를 받는 등 지원이 축소되고 있다는 것이다. 굉장히 큰 문제로 특히 중증장애인분들의 노후에 대한 정책이 따로 없다. 경기도 자체적으로 장애노인을 위한 공적돌봄체계를 개편하고 확대 주도할 것을 요청하며 장애노인에 대한 부분에 대해 집중하고 있다. 또 이재명 지사가 추진하고 있는 다양한 청년 정책에 대해 관심이 많다. 사실 청년정책 예산은 노인복지 예산보다 훨씬 적다. 그동안 지원을 안했던 거다. 아직 가보지 않은 길이라 혹시 발생할 문제 때문에 우려의 시선이 커 찬반 대립이 심하다. 완벽한 길이란 없고 타 지역의 성공한 정책을 경기도에 도입할 수도 없다. 보완해가며 수정해서 청년정책을 성공할 수 있도록 강력하게 지원해야 한다고 생각한다. 지역구 중점 현안은 무엇인가 부천지역은 주차난이 아주 심하다. 특히 제 지역구는 원도심이다 보니 부지를 구하는 게 쉽지 않다. 그래서 지금은 시유지 등 가능한 곳부터 주차장을 만들어야 하지 않을까 생각한다. 또 최근 관심을 갖게 된 것은 부천의 전통시장인 자유시장의 도시가스 설치다. 지금 부천에 19개 전통시장이 있는데 유일하게 도시가스가 안 돼 있는 곳이 자유시장이다. 시장에 들어가면 군데군데 가스통이 포탄처럼 세워져 있어서 정말 위험해 보인다. 도시가스 지중화 사업은 상인들의 장사에 방해가 될 수 있어 위로 배관을 타고 공사를 진행할 수 있도록 검토하고 있다. 권정선은 이다. 표현한다면 권정선은 똑순이다. 그동안 내가 했던 모든 경험들이 정치를 풀어내기 좋은 요건들을 많이 가지고 있었다. 국회 경험을 통해 정치의 틀을 알고 학생들을 가르치며 교감을 느꼈고 2천여 명의 어린이를 키운 부천의 엄마로서 부모와 아이의 상황을 알고 또 삼남매의 부모로서의 생각 장애를 갖고 있는 아이의 엄마로서 이런 모든 경험과 생각들로 정치를 잘 풀어낼 수 있었던 것 같다. 그래서 조금 쑥스럽지만 주어진 일을 똑소리 나게 잘 해내는 똑순이라고 말하고 싶다.
306,2019-06-03,UCB0h96ARIixpsAD4Jkh0oQw,"(공주시)신바람 공주뉴스 233호(신바람시민소통위원회, 정례브리핑, 신바람정책톡톡, 청년정책, 석장리구석기축제, 제2금강교, 을지태극연습)",1. 김정섭 공주시장은 지난달 29일 수요 정례브리핑을 통해 공주시민 누구나 참여할 수 있는 신바람 시민소통위원회를 설치 운영한다고 밝혔습니다. 2. 공주시는 지난달 30일. 신바람 정책톡톡 토론회 7번째 시간으로 청년 복지와 일자리 정책등을 주제로 토론회를 열었습니다. 3. 공주시는 지난달 31일 2019 공주 석장리 구석기축제 최종 평가보고회를 가졌습니다. 문화재 활용이나 시설 안전은 좋은 평가를 받았으며 축제먹거리 등은 보완해야 할 과제로 남았습니다. 4. 공주시는 김정섭 공주시장을 비롯한 농업단체 소비자 단체 시 관계자 등이 참석한 가운데 푸드 플랜 관련 현황 등 먹거리 기본계획 수립과 활성화 방안을 위한 용역 중간 보고회를 열었습니다. 5. 공주시는 제2 금강교 건립을 위한 유산 영향 평가 착수 보고회를 가졌습니다. 6. 국가총력전 차원의 전시대비연습과 대형복합 재난에 대한 위기 대응 훈련인 2019 을지태극연습이 지난달 27일부터 30일까지 나흘간 공주시 군부대 소방서 경찰서 등 주요기관 합동으로 열렸습니다. 오프닝 리드 멘트 시민 여러분 안녕하십니까 신바람공주 뉴스 이예잽니다. 소통 이라는 말엔 이런 뜻이 있습니다. 막히지 않고 잘 통한다. 이러한 소통의 기본은 상대방의 의견을 귀 기울여 듣는 것일 텐데요 정책 결정 과정에서 시민 여러분의 의견을 잘 듣기 위한 공주시의 노력에...많은 관심 부탁드리면서 신바람 공주뉴스 첫 소식 전해드립니다. 김정섭 공주시장은 지난달 29일 수요 정례브리핑을 통해 공주시민 누구나 참여할 수 있는 신바람 시민소통 위원회를 설치 운영한다고 밝혔습니다. 공주시는 이에 앞서 오는 7월 출범을 앞둔 신바람 시민소통위원회 출범을 위해 위원 100명을 공개 모집합니다. 이날 브리핑실에서 열린 발표에서 공주시는 100명으로 구성될 시민소통위원회 전원을 지역별 연령별 성별 등을 고려해 공개모집에 들어간다고 밝혔습니다. 접수는 지난달 29일부터 오는 6월 14일까지 17일간 가능하며 모집분과로는 시민.자치 문화.관광 경제.도시 교육.복지 안전.환경 등 5개 분과로 나눠 위원 신청 시 희망 분과를 차례로 선택해 응시할 수 있습니다. 공주시는 지난달 30일 신바람 정책톡톡 토론회 7번째 시간으로 청년 복지와 일자리 정책 등을 주제로 토론회를 열었습니다. 이날 열린 청년정책 토론회는 크게 청년 복지와 일자리 분야 그리고 청년 정책과 관련된 열띤 토론과 의견수렴의 장으로 마련됐습니다. 공주시는 노인 정책과 비교해 상대적으로 박탈감과 소외감을 느낄 수 있는 청년 지원정책의 현 주소를 짚어보고 수요자 중심의 정책을 발굴 실현하기 위해 이번 토론회를 기획했다고 밝혔습니다. 정책 토론회 발제에 나선 박춘섭 충남연구원 박사는 청년복지 및 일자리 분야 를 통해 공주시의 전반적인 청년 정책 현황을 살펴보았고 정상훈 충남창조경제혁신센터 는 공주형 메이커스페이스 를 주제로 공주의 청년 사업을 보다 세밀하게 조명했습니다. 또한 송두범 충남연구원 박사 주재로 진행된 공주시의 청년 정책 토론에서 시는 이번 토론회를 통해 다방면으로 활동 중인 청년들의 생각과 의견을 수렴해 더욱 발전된 청년 정책 모델을 개발해 나갈 계획 이라며 토론회에서 제시된 의견은 공주시 청년 정책을 수립하는데 적극 반영할 계획 이라고 말했습니다. 공주시는 지난달 31일 2019 공주 석장리 구석기축제 최종평가 보고회를 가졌습니다. 문화재 활용이나 시설 안전은 좋은 평가를 받았으며 축제 먹거리 등은 보완해야 할 과제로 남았습니다. 공주시는 지난달 3일부터 6일까지 사흘간 열린 2019 공주 석장리 구석기축제 최종평가 보고회를 갖고 축제 공간 활용과 야간 조명의 경우 구석기 테마 조형물을 적극적으로 반영하였고 시민참여형 프로그램으로 진행됐다고 평가했습니다. 한편 관광객 비율은 82 로 대부분이 축제 참여 목적으로 방문한 것으로 조사됐습니다. 따라서 지역관광 발전을 위한 관광객 유치를 위해 축제 기간 동안 즐길 수 있는 먹거리와 살거리 등은 좀 더 보완해야 할 것으로 보입니다. 공주시는 김정섭 공주시장을 비롯한 농업단체 소비자 단체 시관계자 등이 참석한 가운데 푸드플랜 관련 현황 등 먹거리 기본계획 수립과 활성화 방안을 위한 용역 중간보고회를 열었습니다. 공주시가 먹거리종합계획에 의한 푸드플랜 계획의 일환으로 대대적인 홍보 활동에 나선 먹거리 생산 및 가공 유통 소비 등의 선순환체계 구축들이 본격적으로 진행되면서 이를 활성화하기 위한 프로젝트 홍보 전략에 따라 오는 6월 말까지 전격 푸드플랜 홍보에 매진키로 했습니다. 시는 지난달 공주시 먹거리종합계획 푸드플랜 구축을 위한 설명회에 이어 16개 읍 면 동 지역을 직접 순회 방문 마을 이 통장과 부녀회장 새마을지도자 등을 대상으로 홍보 활동을 전개해왔습니다. 또한 앞으로도 민 관 협력체계 구축을 통한 먹거리 위원회 구성과 농가 조직화 관련 조례 제정 등 공주형 푸드플랜 기반을 다져나갈 방침이라고 밝혔습니다. 공주시는 지난달 31일 제 2금강교 건립을 위한 유산 영향평가 착수 보고회를 가졌습니다. 공주시는 문화재청의 요청에 따라 금강철교를 대체할 제 2금강교 건립을 위해 유산영향평가를 받게 되면서 이에 대한 착수 보고회를 열고 추진 방향을 논의했습니다. 유산영향평가는 유네스코가 세계유산 보호를 위해 2011년 도입한 제도로 문화재청은 세계유산의 가치에 영향을 미칠 우려가 있는 사업에 대해서는 유산영향평가를 요구하고 있습니다. 국가 총력전 차원의 전시대비 연습과 대형복합 재난에 대한 위기 대응 훈련인 2019 을지태극연습이 지난달 27일부터 30일까지 나흘간 공주시 군부대 소방서 경찰서 등 주요기관 합동으로 열렸습니다. 이번 을지태극연습은 한국군 단독 태극연습과 연계해 처음 시행하는 새로운 형태의 연습으로 관내 군부대와 경찰서 소방서 등 공주시를 비롯한 32개 유관기관 430여 명이 참여했습니다. 특히 지난달 29일에 열린 민 관 군 경 합동 훈련은 백제체육관 테러 종합복구 훈련으로 테러 폭발물에 의한 화재대비 및 피해복구 훈련이 실시됐습니다. 6월 8일과 9일 양일간 유구 전통시장 일원에서는 2019 유구 섬유축제 가 열립니다. 유구는 1980년대 국내 직물산업의 부흥기를 이끌었는데요 이번 주말엔 유구에 가서 유구 섬유의 우수성도 확인하고 즐거운 축제도 즐겨보시면 어떨까요 신바람 공주뉴스는 다음 시간에 뵙겠습니다.
302,2019-06-28,UCQWdcDIhn1QV6leDvMVZ07A,(190520)[정춘숙 원내대변인 브리핑]  성년의 날 관련 더불어민주당 청년정책 브리핑,성년의 날 은 대한민국 미래 의 날 성년의 날을 맞이한 2000년생 여러분 축하드린다. 청년들의 녹록치 않은 현실은 우리 사회의 무한한 책임이다. 기성세대로서 깊은 미안함을 갖고 있으며 그럼에도 꿋꿋하게 삶을 개척해 나가는 청년들께 감사와 응원을 보낸다. 더불어 민주당은 학자금 취업 결혼 등 걱정부터 앞서는 청년들의 내일을 바꾸기 위해 최선을 다할 것이다. 더불어 민주당의 청년정책 미래연석회의를 중심으로 신설될 청와대 청년정책관과 함께 청년의 미래를 실질적으로 변화시키도록 하겠다. 당장 5월 국회에서 청년기본법을 통과시키기 위해 적극 나설 것이며 이를 통해 청년고용촉진 청년주거안정 등 청년들이 당당한 나라를 만들기 위해서 노력하겠다. 특히 청년기본법은 여.야가 이견이 없는 사안이다. 자유한국당은 시급히 국회에 복귀해 청년기본법을 비롯한 청년문제 해결에 함께 하기 바란다. 아울러 더불어민주당은 보다 평등한 세상과 함께 잘사는 세상을 위한 청년들의 적극적인 참여와 행동을 전폭적으로 뒷받침할 것을 약속드린다. 다시 한 번 대한민국 미래의 날 성년의 날을 축하드린다. 무거운 책임감보다 용기와 자신감을 먼저 떠올릴 수 있는 세상을 응원한다.
300,2019-07-02,UC35SH2IZCoDAyjdM_BKNVlA,[LIVE] 민선7기 청년정책 로드맵 발표,민선7기 청년정책 로드맵 발표 입니다
