,작성일,작성자,내용
3570,2019-05-01,gyeongsangbukdo,공예업체 취업을 원하는 경북의 취준생들에게 꿀 정보 경상북도 청년정책 일자리정책 취업지원사업 . 1123403236411502592 1
3569,2019-05-01,maroon72kr,흠.. 트윗영상 업로드 펄러시가 바뀐게 확실해요. 올리는 영상의 길이를 임의로 조절을 못하네요. 관련영상 전체를 올리는 수 외엔 방법이 없네요 쩝. 관련 영상 청년정책 공약 영상 올립니다. 아참 그리고 지사님 저 한국에 왔네요. 하이 하고 갑니다. 12년만에 왔네요. 반가워요. . 72 1123551395917918208 1
320,2019-05-02,jinyeongkim2000,홍영표 원내대표 부처별로 쪼개진 청년 정책을 총괄하고 조정할 콘트롤타워를 만들겠다 중장기적 청년정책 로드맵 논의를 위한 당정청 협의회에서 이같이 말하고 청와대에 청년담당직제 신설하고 정부 차원에서 일자리 주거와 복지 등 정책을 총괄 조정하는 시스템을 갖출 것 . . . 20190502091919203
3554,2019-05-02,JSSON2001,2030 지지율 하락에 다급해진 당정청 또 청년정책 급조 . . 201905026989
3555,2019-05-02,yonhaptv23,당정청 청년정책 총괄 콘트롤타워 설치 . 2 3 . 1123831987729575937 1
3556,2019-05-02,KBSnews,더불어민주당과 정부 청와대가 청년 정책을 총괄하는 컨트롤 타워를 설치 하기로 했습니다. . . . . 4192497
3557,2019-05-02,gunpocity,경기도 청년기본소득 1분기 신청 기간을 5월 10일 금 까지로 연장합니다 1분기 신청 대상자는 생년월일 94. 1. 2. 95. 1. 1. 자세히 보기 . 2 8 바로 가기 . 2 42 7 문의 경기도 콜센터 120 청소년청년정책과 390 0790 0789 . 1123805407489687552 1
3558,2019-05-02,dlddu98,홍영표 원내대표는 쪼개진 청년정책을 총괄 조정할 컨트롤타워를 만들겠다 고 말했다. 홍 원내대표는 청년문제는 20 30대의 문제만은 아니다 며 청년이 불행하고 고달프면 우리 사회의 미래도 어두울 수밖에 없다 고 지적했다.
3559,2019-05-02,NOWOVA0_25,. 5 로드맵 이름도 중장기적 청년정책 로드맵 이고 전 청년세대 문제 지원 및 법안 마련 정치 참여 지원이 주 목표인데 왜 서울신문 은 제목에 20대 남자 를 꺼내드십니까 갈라치기 할라고 님들 갈라치기에 이용당하는 20대 남자 같으니까 그만 하시죠 . 0 25 1123788700993884160 1 . 0 25 1123788700993884160 1 . 0 25 1123788700993884160 1 . 0 25 1123788700993884160 1
3560,2019-05-02,Frei_AberEinsam,안철수 국민의당 대선후보가 청와대 내에 청년 수석실을 만들겠다고 밝혔습니다. 안 후보는 국회 의원회관에서 열린 청년일자리 정상회담 토론회에서 청년들의 청취하며 실제로 청년을 청년 수석에 임명해서 청년 정책에 청년의 목소리가 반영될 수 있도록 하겠다 고 공약했습니다. 안철수공약 . 8 851301208119582720
3561,2019-05-02,nao_piim,재테크책도 정말 많이 읽었고 청년 정책이나 지역에서 받을 수 있는건 받으려고 했고 소비세 공제 빼면 거의 못받았지만 금융 교육도 들으러 이곳저곳 발로 뛰면서 다니면서 든 현생에서든 다양한 사람을 만났고 정말 도움주신 분들이 많았습니다. 감사합니다.
3562,2019-05-02,dlddu98,정부와 여당 청와대가 청년 정책을 강화하기 위해 청와대 비서관 청년정책관 을 신설한다. 국무총리 산하에 청년정책조정위원회도 설치한다. 더불어민주당은 기존 청년정책협의회를 확장 청년미래연석회의를 구성한다. 청년층이 직접 기구에 참여하는 게 초점이다. . 8 11 . 98 1123765985243275266 1
321,2019-05-02,TimidSpeaker,청년정책이 뭔지 모르겠지만 그냥 하면 될 정책에 나이제한 두는걸 청년정책이라 부르지는 않기를 바란다. 당정청 청 청년정책관실 정부 청년정책조정위 신설 다음뉴스 . . . 20190502082003518
3563,2019-05-02,CorillMatson,20대 지지율 하락에 화들짝 당정 청년정책 컨트롤 타워 논의 . . 01 7
3565,2019-05-02,esh9785,그만코메디하라 뭐라 청년이어쩌구어째 청년정책을한다고 이자들 잠에서아직덜깼나 외이러나 어느바보하나는 지금 이나라가어디로가는지조차망각하고 또 당정청 청년문제 해결 총력 부처 아우를 콘트롤타워... . 9
3566,2019-05-02,KTX9401,홍영표 청년정책 총괄 콘트롤타워 구성..청 청년담당직제 신설 다음뉴스 . . . 20190502091919203
3567,2019-05-02,tay_erini,당정청 청년정책 총괄할 콘트롤타워 만든다 . . . 016 0001530266 1 001 그래서 오늘 5 2 아침 논의 결과 홍영표 청와대에서도 청년문제와 관련한 직제를 신설해 청년정책을 총괄하고 조정하는 시스템을 만들 것 이라고 했다. . 1123733560412856321 1
3568,2019-05-02,ct258,뉴스에이 모바일 사이트 홍영표 원내대표 청년정책 당정청협의회 발언 . . . . 216424
8,2019-05-02,theminjoo2017,청년정책 당정청협의회 청년정책 로드맵 발표 오늘 오전 우리나라 청년정책의 모멘텀이 될 만한 발표가 있었습니다. 바로 청년정책 당정청협의회가 내놓은 중장기적 청년정책 로드맵 입니다. 전문보기 . . . 1192340287624311 307971009394581 영상보기 . . 9
56,2019-05-02,NojjangFyah,청년정책 총괄 컨트롤타워 만든다 . . . 574788 정부 부처별로 쪼개져 시행되는 청년정책을 총괄할 컨트롤 타워가 만들어집니다. 민주당과 정부 청와대가 힘을 모아 청년 정책을 유기적이고 체계적으로 추진해 나가기로 했습니다.
57,2019-05-02,dudehowru,5월 2일 오전 청년정책 당정청협의를 실시했습니다. 청년정책의 종합적조정을 위해 총리실에 청년정책조정위 두고 조율하며 당에는 청년문제 담당 전문위원제도 청와대는 비서관 신설 등 정책관련 청년소통을 강화토록할 것입니다. . . . 20190502100203130
3553,2019-05-02,fritillariamk,쪼개진 청년정책을 총괄.조정할 컨트롤타워를 만들겠다 청년문제는 2030의 문제가 아니라 우리 사회 미래에 대한 문제 일자리문제. 개인자율성을 인정하지 않는 사회문화 등 모든 문제에 정책눈높이를 맞추겠다 청년기본법 조속히 통과 노력 긴 호흡을 가지고 할수있는 모든 노력을 다하겠다 . 1123852793184432128 1 . 1123852793184432128 1
3552,2019-05-02,tay_erini,2018 진짜 마지막 청와대에서 청년 정책을 전담할 비서관을 두는 것에 대해 청년 문제를 이제 보조적인 정책이 아니라 독립적인 정책으로 다뤄야 한다. 그런데 현재 부처도 청년 문제를 얘기하고 힘있게 갖고 갈 수 있는 게 아니라 애매하게 얹어져 있다. 분야별로 정책별로 따로따로 얹어져 있는데
3564,2019-05-02,PRESSIAN_news,총리실 소속의 청년정책조정위원회 를 설치하고 당에는 청년미래연석회의 를 구성해 청년정책을 총괄할 컨트롤타워를 구성한다는 계획입니다 . . 239323
319,2019-05-02,DikesEye,국무총리실을 청년정책 콘트롤타워로 청년정책조정위 설치 . 20190502041600001
3549,2019-05-03,mss1154,당정청 청년정책 로드맵으로 아픈 손가락 20대 남성 마음 되돌릴 수 있을까 김현주의 일상 톡톡 출처 세계일보 네이버 뉴스 . 4
3548,2019-05-03,articlever,2019년 5월 3일 금요일 오늘의 국내 11개 신문사 사설 주요 주제 공수처 검경수사권조정에 대한 정치권과 검찰의 반발 문재인 대통령 사회 원로 12명 초청 국정 방향 간담회 청년 정책 한국형 차세대 원전 미국서 안전성 인증 소득주도성장 비판 . . 2756
3547,2019-05-03,hkh_net,당정청 청년정책 로드맵으로 아픈 손가락 20대 남성 마음 되돌릴 수 있을까 김현주의 일상 톡톡 . 0 8
3546,2019-05-03,surifoct,그거.. 제가 하면 안 될까요 인수위 업무도 자신 있는데요 청년정책이면 저도 법적으로는 청년인지라 그 실태는 잘 알고 있거든요. 청와대 청년정책비서관 2030정책
3550,2019-05-03,gogospeedworld,금일 사설 2019 05 03 산재 발생 찾아내는 것보다 막는 게 더 중요하다 경향 촘촘하고 실효성 있는 정신질환 범죄 대책 나오길 연합 청년정책 젊은이들이 자유롭게 도전할 여건부터 만들라 매경
318,2019-05-03,Eunpyeongworld,찜하고 싶은 서울시 청년정책 한눈에 보기 서울시 청년들의 고민을 해결할 청년정책을 한눈에 확인해보세요 금융지원 취업준비 창업준비 등 알짜배기 정보들이 가득 . . . 1225750 0 3 3 0 은평구 서울시 청년 정책 자세히보기
3545,2019-05-03,love_ptcity,평택시 경기도청년기본소득신청연장 청년수당 청년정책 청년기본소득 평택시 청년 여러분들 주목 경기도 청년기본소득 신청기간이 연장되었습니다. 삶의 질 향상과 청년들의 사회적 기본권을 보장하는 제도이니 연장된 기간 확인하시고 꼭 신청하여 지원받으시길 바랍니다. . 1124135475248189441 1
3544,2019-05-03,bucheon_in,부천시 청년정책 기본계획 수립 연구용역 착수보고회 개최 오는 10월 부천 특화형 청년정책 로드맵 단계별 제시 . 2 1 더부천
3543,2019-05-03,sharpark30,나베 때문에 성신여대 떨어진 학생 성적 1.5 2 등급에 피아노도 나베 딸보다 잘쳤단다 한 청년의 인생을 망쳐놓고 청년정책 청년취업 논할 자격 있는가 . 30 1124229297089040384 1
3542,2019-05-03,hyejoo94637653,사설 청년정책 젊은이들이 자유롭게 도전할 여건부터 만들라 출처 매일경제 네이버 . 5 4
3551,2019-05-03,chaeyomieee,연합뉴스 개찌라시 새끼들아. 2030 이탈 위기감에 청년비서관제도를 부랴부랴 급조하는게 아니구요 청년정책 입안과정에서 청년의 직접참여를 확대하는 것은 문재인 대통령의 대선공약 사안이고 요번 청년비서관 제도 신설은 그 공약의 일환이에요 병신들아. 모르면 찾아봐. 기사 존나 막 처쓰네. . 1123991028401430528 1
3540,2019-05-04,theminjoo2017,청년정책 당 정 청 협의안 발표 영상보기 . 7 8 더 나은 세상을 위해 더불어민주당 전국청년위원회가 뚜벅뚜벅 나아갑니다. 더불어민주당 전국청년위원회
3541,2019-05-04,OtranRanko1919,사설 청년정책 전담 기구 청년세대의 사소한 목소리에도 귀 기울여야 . . 201905021639057102
3539,2019-05-05,kangyulee,당정청 청년정책 로드맵으로 아픈 손가락 20대 남성 마음 되돌릴 수 있을까 808. . 221529045235
3536,2019-05-06,Ureyesong,21 자유한국당 자한당 님들은 젊은이들과 소통할 방법들을 많이 강구하십시오. 벌써 청와대와 좌파들은 총선대비 및 앞으로를 생각해서 청와대에 청년정책 자리도 신설하려고 하고 있습니다. 최대한 젊은이들과 소통할 방법을 강구해 주시기를..
3537,2019-05-06,Ureyesong,21 자유한국당 자한당 님들은 젊은이들과 소통할 방법들을 많이 강구하십시오. 벌써 좌들은 총선대비 및 앞으로를 생각해서 청와대에 청년정책 자리도 만들려고 하고 있습니다. 최대한 젊은이들과 소통할 방법을 강구해 주시기를..
3538,2019-05-06,Main_Tainor,청년정책 특징 참가가 어렵고 요구하는 활동이 길며 까다로움 불평하면 공짜 바란다며 비난함
3532,2019-05-07,newswire_ec,서울시청년활동지원센터 청년정책 발전을 위한 전국합동포럼 성황리 개최 . . . . 887680
317,2019-05-07,mediathenext,청지기 지수 2019년 5월 4일 수혜자가 공감하지 못하는 청년정책 청년의 눈높이로부터 시작해야 미디어내일엔 청지기지수 청년정책 . . . 2460
3535,2019-05-07,shinfran,문베 때문에 고용정보원 공기업 떨어진 취준생 성적도 실력도 문베 아들 문준용 보다 훨씬 좋았단다 한 청년의 인생을 망쳐놓고 청년정책 청년취업 논할 자격이 있는가
3531,2019-05-07,freedomy1,정선희 성공적 청년정책 주문 24. . 90967
3530,2019-05-07,skynine7038,6234 6554 민주당의원은 만주당의원인가. 자한당이 자영업자와 청년을 위한 정책을 폈다고 생각한다는 자체를 믿기 어려울만큼 놀랍다. 이인영이나 노웅래나 김태년이 이 세사람이 우선해서 할 말이 자한당 걱정이라니 민주당이 내년에는 만주당이 될 것 같다. 국민은 민주당을 차선으로 선택하고 있을 뿐이다
55,2019-05-08,120seoulcall,청년정책 청년정책을 소개하는 유튜브 채널을 운영하는 청년들을 찾아가 이야기를 들어보았다고 합니다 청년이 청년에게 콕 집어 알려주는 서울시 청년정책을 확인해보세요 . 2 . 120 1125951818574336000 1
3527,2019-05-08,hellopolicy,내 삶을 바꾼 문재인 정부 2년 청년 편 국민이 주인인 나라 다함께 잘사는 나라 를 위한 정부의 2년 간의 여정 카드뉴스로 정리했습니다. 내삶을바꾼2년 문재인정부 청년을위한나라 청년정책 포용국가 다함께잘사는나라 . 1126034017357160448 1 . 1126034017357160448 1 . 1126034017357160448 1 . 1126034017357160448 1
3528,2019-05-08,337ysh,객석이 모자라 간이의자를 수십 개 깔아야 했을 정도로 많은 분들이 참석해주신 청년정책 토크쇼 영상입니다 영상시청 해주시구요 기본소득 그리고 정년정책 응원해주세요 유승희 티비 1 청년정책 토크쇼 기본소득 스타트업 . 9789 9 님이 공유
3526,2019-05-08,k1ilbo,시의원에게 듣는다 3 포천시의회 손세화 의원 청년정책 시민 소통 최우선 . 1 . . 71794
3529,2019-05-08,hani_book,1인당 국민소득 7만 달러 8만 달러인 북구 국가들 보니까 국가복지도 잘돼 있는데 회사 내의 민주주의도 잘돼 있어요. 민주주의는회사문앞에서멈춘다 우석훈 한겨레출판 직장민주주의 우석훈 청년정책 다다익선 효과 .
3523,2019-05-09,ARMBAGUETTE,정책과제만 하자 정책만.... 주제선정하고 현황찬고 하 무슨 정책하지 청년정책 뭐잇어 너무포괄적 걍 성인 대상 정책이잔아요 교수놈아
3525,2019-05-09,pneumas,진짜 이런 것은 초당적으로 국가적 총체적 노력으로 비전을 찾아서 실천하도록 하자. 이 문제는 정략적 대상도 아니잖은가. 젊은이들 앞날이 구만리인데.. 젊은이들 생각하자면 진짜 내가 요즘 우울해지기만 하다. 사설 빚에 우는 적자 청춘 청년정책 처음부터 새로 짜야 . . 3 20190508 95439334 1
3524,2019-05-09,hannamjaegii,청년예산 참여 토론 해달라고 해서 했느 데 역시 젷 문제는 청년정책은 많은데 그거 홍보가 너무 안되어이 는 거 같음 무슨 정책 무슨 제도 신청 땜에 왓다 그러면 열의 아홉은 모른다고 자기 관할 아니라고 하고 관공서가 거부하는 요지경
3521,2019-05-10,OtranRanko1919,세상읽기 청년 빠진 청년정책 이제 그만 . .
3522,2019-05-10,Leena__Kim,200 000 . . 청년정책 취업시켜주세요 제발 출처 네이버 뉴스 .
3520,2019-05-10,force2me,서울시 청년여러분 청년수당 선정자 발표 보셨나요 다른 청년정책도 참고하세요 1999. . 221534307393
3519,2019-05-11,R_grape_candy,28 65 존나 이정부들어서 청년정책 개많이하는데 나만 제외여 샹
3518,2019-05-13,nana2000nana,경상남도가 구직청년들 입을 정장을 무료로 빌려준다 청년들이 면접때 입을 정장을 무료로 대여해주는 슛골사업을 광역 도단위 가운데 처음으로 시행한다 청년정책 청년이만든다 경남 청년네트워크 경수찡 교복의계절 . 2000 1127931946493808642 1 . 2000 1127931946493808642 1 . 2000 1127931946493808642 1 . 2000 1127931946493808642 1
3516,2019-05-14,tgs432004,시장님의 청년정책 100 지지합니다. 커피숍이나 식당에 가보면 학생들이 열심히 공부해야 할 시간에 알바에 시간을 다 보내야 하는것을 보면 짠하고 마음 아프더군요. 특히 지방에서 올라온 학생들 대부분이 생활고에 시달리고 있습니다. 시장님께서 청년들의 앞잡이가 되어 잘 이끌어 가십시요.
3517,2019-05-14,42KKswgGn31fiA3,청년 정책의 오판이 여기서 나오지 않나 싶어
3515,2019-05-15,girakcrasylov,경기도 청년 정책 읽다가 2019년 기준 성인되신 분들 참고하시면 좋을 것 같아서 가져왔어요 경기도에서 국민연금 가입비 지원해준답니다. . 1128360207619248128 1
316,2019-05-15,mediathenext,청지기 뉴스 문재인 정부 2년 정부가 꼽는 대표적인 청년정책 4가지는 미디어내일엔 청년정책 . . . . 2505
3514,2019-05-16,_mingcy_,얼핏 청년수당 왜퍼주냐 그거땜에 다른 복지정책이 줄오든다는 식의 글을봐서.... 생각보다 청년수당 받는 인구가 굉장히 한정적이고.... 예산내에서 적정비율 안에받는 돈이기도하고... 그럼 청년복지포인트나 학자금대출이자대리상환 등등 경기도의 수많은 청년정책이 계속 겨냥되는게 속상함
3513,2019-05-17,mediathenext,청지기 지수 2019년 5월 15일 공공서비스 일자리 확충 역시 청년 정책입니다 미디어내일엔 청지기지수 공공서비스 일자리 . . . 2517
3512,2019-05-17,jhgfuytrr,이 지사 측 관계자는 이번 결과에 대해 우린 법리적으로 무죄 라고 확신하고 있었다. 재판부가 현명한 판단을 내린 것 이라며 이 지사는 공정 의 기치 하에 왜곡된 부동산 시장 정상화 지역 화폐 정책 청년 정책 기본소득 정책 등을 흔들림 없이 추진해 나갈 것 이라고 밝혔다.
3510,2019-05-19,oh276,이재명 경기지사 청년정책 생애 최초 청년국민연금 첫걸음 다음뉴스 . . . 20190519142241607
3511,2019-05-19,gespenst_lamm,청년정책 관련 공식 단톡방에 들어가 있는데 말하지 말라고 분명 공지에 써있는데 왜 거의 항상 시끄럽게 구는 건 남자들일까
3509,2019-05-20,yoeman6310,청년단체들과 함께 청년기본법 제정 촉구 기자회견을 열었습니다. 다양한 청년정책을 조율하고 제대로 집행하기 위해 청년들의 의사가 정책에 반영될 수 있는 거버넌스 구조가 반드시 필요합니다. 청년기본법의 통과를 위해 최선을 다하겠습니다. . 6
3508,2019-05-20,wonsoonpark,이런 건 좀 자랑해도 되는거죠 대학생이 뽑은 닮고 싶은 지자체장 부문 1위에 선정되었다고 하네요. 지난 8년간 펼쳐온 시민을 위한 정책 특히 청년을 위한 정책에 대한 대학생들의 평가라고 생각합니다. 감사합니다. 더욱 노력하겠습니다. . . . 342265 1 1 2 3 3 1
3507,2019-05-20,hellopolicy,정부지원 받으며 구직활동 한다구요 1 50만 원씩 6개월 지원 청년구직활동지원금 2 진로상담부터 단계별 수당까지 청년취업성공패키지 3 교육비 최대 200만 원 지급 내일배움카드 문의처 및 자세한 내용 보려면 . 2 청년취업 청년정책 청년일자리 . 1130420302041632770 1
3505,2019-05-20,ChooMiAe,추미애 당신의 첫걸음을 응원합니다 사랑방 손님과 미애씨 우석훈 교수편 청 푸를 청 연 해 년 이름 그대로 우리 청년들이 푸르게 희망적인 미래를 만들어갈 수 있길 바랍니다 . 2 6 성년의날 우석훈 88만원세대 청년 청년정책 청년내일채움공제 추미애
3506,2019-05-20,kicoo77,나라의 미래 청년정책 든든합니다
